Date,Item/Description,Amount,Mode,Remarks,Monthss,Paid/Unpaid,Paid By,Payment Date,Category,ID,Adv Check,PnL Category,PnL Type,Check,,,,,,,,Check
09/03/2026,Dairy,733,Bank,Ashok,03-2026,Unpaid,,,Inventory,6560,,COGS - Dairy,Expense,0,,,,,,,,
09/03/2026,Chicken,5331,Bank,Golden food,03-2026,Unpaid,,,Inventory,6561,,COGS - NonVeg,Expense,0,,,,,,,,
09/03/2026,Petrol,310,Cash,petrol,03-2026,Paid,Naseem,09/03/2026,Bike Maintance,6562,,OpEx - Maintenance,Expense,0,,,,,,,,
09/03/2026,Momos,210,Cash,momos,03-2026,Paid,Naseem,09/03/2026,Inventory,6563,,COGS - Inventory,Expense,0,,,,,,,,
09/03/2026,Sales,2895,Cash,petpooja,03-2026,,,,Sales,6564,,Revenue,Income,0,,,,,,,,
09/03/2026,Sales,14709,Wallet,petpooja,03-2026,,,,Sales,6565,,Revenue,Income,0,,,,,,,,
09/03/2026,Sales,700,UPI,petpooja,03-2026,,,,Sales,6566,,Revenue,Income,0,,,,,,,,
09/03/2026,Sales,925,Online Sale,petpooja,03-2026,,,,Sales,6567,,Revenue,Income,0,,,,,,,,
09/03/2026,Vegetables,875,Bank,Bhaironath,03-2026,Unpaid,,,Inventory,6568,,COGS - Veg,Expense,0,,,,,,,,
09/03/2026,Dairy,36,Cash,milk,03-2026,Paid,Naseem,09/03/2026,Inventory,6569,,COGS - Dairy,Expense,0,,,,,,,,
09/03/2026,Tea,50,Cash,tea,03-2026,Paid,Naseem,09/03/2026,Staff Expenses,6570,,OpEx - Labor,Expense,0,,,,,,,,
09/03/2026,Kinners,20,Cash,kinnar,03-2026,Paid,Naseem,09/03/2026,Maintance,6571,,OpEx - Misc,Expense,0,,,,,,,,
10/03/2026,Chicken,4719,Bank,Golden food,03-2026,Unpaid,,,Inventory,6572,,COGS - NonVeg,Expense,0,,,,,,,,
10/03/2026,Stationary,100,Cash,neas paper,03-2026,Paid,Naseem,10/03/2026,Inventory,6573,,COGS - Inventory,Expense,0,,,,,,,,
10/03/2026,Disposable,60,Cash,papaer plate,03-2026,Paid,Naseem,10/03/2026,Inventory,6574,,COGS - Packaging,Expense,0,,,,,,,,
10/03/2026,Vegetables,250,Cash,tomatto,03-2026,Paid,Naseem,10/03/2026,Inventory,6575,,COGS - Veg,Expense,0,,,,,,,,
